time,open,high,low,close,volume,symbol
2020-01-02,2.73,2.8,2.66,2.73,416346,LPB
2020-01-03,2.73,2.73,2.7,2.73,79257,LPB
2020-01-06,2.7,2.7,2.66,2.66,118620,LPB
2020-01-07,2.66,2.7,2.62,2.66,144955,LPB
2020-01-08,2.62,2.66,2.62,2.66,197038,LPB
2020-01-09,2.62,2.7,2.62,2.66,310444,LPB
2020-01-10,2.66,2.77,2.66,2.77,495515,LPB
2020-01-13,2.73,2.77,2.73,2.73,198130,LPB
2020-01-14,2.73,2.77,2.7,2.73,487555,LPB
2020-01-15,2.73,2.73,2.7,2.73,566760,LPB
2020-01-16,2.73,2.77,2.7,2.77,493302,LPB
2020-01-17,2.73,2.8,2.73,2.77,636570,LPB
2020-01-20,2.77,2.84,2.73,2.8,744140,LPB
2020-01-21,2.8,2.84,2.8,2.8,549545,LPB
2020-01-22,2.88,2.88,2.8,2.88,410662,LPB
2020-01-30,2.84,2.88,2.73,2.73,1097030,LPB
2020-01-31,2.73,2.77,2.62,2.66,1697740,LPB
2020-02-03,2.66,2.66,2.48,2.59,2169576,LPB
2020-02-04,2.59,2.7,2.59,2.7,783597,LPB
2020-02-05,2.97,2.97,2.73,2.77,2219653,LPB
2020-02-06,2.77,2.89,2.73,2.81,1525378,LPB
2020-02-07,2.81,2.85,2.73,2.85,1486586,LPB
2020-02-10,2.85,2.85,2.77,2.77,523143,LPB
2020-02-11,2.81,2.85,2.77,2.81,778552,LPB
2020-02-12,2.77,2.81,2.77,2.77,1231874,LPB
2020-02-13,2.73,2.81,2.73,2.77,1410681,LPB
2020-02-14,2.77,2.97,2.73,2.93,2780776,LPB
2020-02-17,2.93,2.97,2.85,2.93,1340603,LPB
2020-02-18,2.89,2.93,2.81,2.85,1317677,LPB
2020-02-19,2.81,2.85,2.81,2.81,372128,LPB
2020-02-20,2.81,2.85,2.77,2.81,1820975,LPB
2020-02-21,2.81,2.81,2.69,2.77,1203744,LPB
2020-02-24,2.73,2.77,2.61,2.65,1904465,LPB
2020-02-25,2.61,2.69,2.61,2.65,1763709,LPB
2020-02-26,2.65,2.73,2.65,2.73,542375,LPB
2020-02-27,2.69,2.81,2.69,2.81,985927,LPB
2020-02-28,2.77,2.81,2.69,2.81,3306812,LPB
2020-03-02,2.81,3.12,2.73,3.12,8209563,LPB
2020-03-03,3.16,3.44,3.12,3.44,3685507,LPB
2020-03-04,3.91,3.91,3.48,3.56,7176240,LPB
2020-03-05,3.56,3.6,3.36,3.44,5784282,LPB
2020-03-06,3.44,3.48,3.2,3.36,3136749,LPB
2020-03-09,3.24,3.24,2.85,2.85,6014031,LPB
2020-03-10,2.57,3.08,2.57,3.01,4247181,LPB
2020-03-11,3.04,3.12,2.85,2.97,3315439,LPB
2020-03-12,2.93,2.93,2.77,2.85,3955543,LPB
2020-03-13,2.77,2.85,2.61,2.81,4100928,LPB
2020-03-16,2.85,2.85,2.69,2.73,2630457,LPB
2020-03-17,2.73,2.81,2.61,2.77,1784834,LPB
